PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
9001,0,3,"Dawson, Mr. Jack",male,20,0,0,STOWAWAY1,7.25,,S
9002,1,1,"DeWitt Bukater, Miss. Rose",female,17,0,1,PC 17600,151.55,B22,S
9003,1,1,"Hockley, Mr. Caledon",male,30,0,0,PC 17601,227.525,C55,S
9004,1,1,"DeWitt Bukater, Mrs. Ruth",female,46,0,1,PC 17600,151.55,B22,S
9005,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44,1,0,PC 17610,27.7208,B4,S
9006,0,1,"Andrews, Mr. Thomas",male,39,0,0,112050,0,A36,S
9007,0,3,"De Rossi, Mr. Fabrizio",male,24,0,0,STOWAWAY2,7.8958,,S
9008,0,1,"Lovejoy, Mr. Spicer",male,51,0,0,PC 17602,26,,S
9009,0,3,"Ryan, Mr. Tommy",male,20,0,0,STOWAWAY3,7.75,,Q
9010,1,2,"Bolt, Miss. Trudy",female,30,0,0,SC/PARIS 2000,26,,S
